iter	Passed	Remaining
0	10	10179
1	20	10034
2	31	10365
3	42	10476
4	51	10166
5	60	10054
6	69	9870
7	78	9742
8	87	9686
9	97	9629
10	106	9602
11	116	9579
12	125	9551
13	135	9552
14	145	9532
15	154	9499
16	164	9499
17	174	9528
18	185	9572
19	197	9671
20	208	9713
21	220	9789
22	233	9921
23	243	9906
24	254	9909
25	263	9878
26	274	9899
27	287	9977
28	297	9957
29	308	9960
30	317	9928
31	327	9920
32	339	9950
33	348	9904
34	358	9886
35	368	9874
36	378	9853
37	389	9854
38	398	9815
39	409	9826
40	422	9884
41	433	9876
42	442	9840
43	452	9827
44	461	9797
45	472	9792
46	481	9768
47	491	9750
48	500	9717
49	509	9680
50	519	9664
51	528	9642
52	538	9619
53	548	9600
54	557	9573
55	567	9573
56	579	9580
57	590	9594
58	603	9625
59	613	9617
60	624	9607
61	634	9592
62	644	9580
63	654	9567
64	664	9552
65	673	9534
66	685	9545
67	694	9522
68	703	9493
69	713	9481
70	723	9464
71	732	9439
72	741	9418
73	751	9402
74	760	9382
75	770	9369
76	783	9387
77	794	9392
78	805	9389
79	815	9376
80	826	9372
81	837	9372
82	847	9360
83	856	9344
84	866	9324
85	875	9309
86	886	9303
87	898	9315
88	910	9322
89	921	9320
90	932	9314
91	943	9307
92	953	9300
93	965	9309
94	978	9325
95	990	9323
96	1000	9311
97	1010	9297
98	1019	9281
99	1030	9270
100	1039	9256
101	1049	9240
102	1060	9231
103	1070	9225
104	1080	9214
105	1092	9210
106	1102	9198
107	1111	9182
108	1121	9168
109	1130	9150
110	1141	9139
111	1151	9133
112	1162	9128
113	1175	9135
114	1186	9129
115	1195	9112
116	1205	9099
117	1215	9085
118	1224	9066
119	1234	9050
120	1243	9033
121	1255	9037
122	1267	9039
123	1278	9029
124	1290	9031
125	1304	9050
126	1317	9058
127	1328	9050
128	1340	9054
129	1355	9072
130	1368	9079
131	1379	9068
132	1389	9055
133	1402	9063
134	1415	9067
135	1424	9051
136	1434	9036
137	1443	9018
138	1452	8999
139	1464	8998
140	1480	9020
141	1495	9037
142	1513	9068
143	1528	9087
144	1543	9099
145	1559	9122
146	1573	9130
147	1585	9125
148	1597	9123
149	1607	9111
150	1618	9102
151	1629	9089
152	1640	9081
153	1649	9063
154	1659	9047
155	1668	9027
156	1678	9011
157	1687	8993
158	1696	8975
159	1706	8957
160	1715	8939
161	1726	8930
162	1736	8915
163	1745	8898
164	1755	8884
165	1764	8866
166	1774	8852
167	1784	8836
168	1793	8819
169	1803	8803
170	1812	8787
171	1827	8796
172	1842	8805
173	1854	8805
174	1866	8797
175	1877	8788
176	1890	8790
177	1901	8779
178	1912	8772
179	1923	8760
180	1933	8748
181	1942	8731
182	1953	8721
183	1963	8706
184	1972	8691
185	1982	8676
186	1992	8660
187	2002	8648
188	2013	8640
189	2024	8630
190	2035	8620
191	2045	8609
192	2055	8596
193	2066	8585
194	2077	8575
195	2087	8561
196	2097	8549
197	2106	8532
198	2118	8528
199	2129	8518
200	2138	8502
201	2149	8490
202	2159	8478
203	2169	8464
204	2180	8454
205	2190	8442
206	2199	8426
207	2210	8416
208	2221	8405
209	2231	8394
210	2244	8392
211	2254	8380
212	2263	8364
213	2274	8353
214	2283	8338
215	2294	8326
216	2304	8313
217	2315	8304
218	2326	8295
219	2335	8281
220	2345	8266
221	2357	8260
222	2366	8246
223	2376	8233
224	2388	8225
225	2398	8213
226	2408	8200
227	2417	8185
228	2427	8173
229	2437	8160
230	2447	8146
231	2457	8133
232	2466	8120
233	2475	8105
234	2485	8092
235	2496	8081
236	2505	8067
237	2515	8054
238	2525	8041
239	2535	8030
240	2545	8017
241	2555	8003
242	2564	7988
243	2573	7973
244	2583	7960
245	2593	7948
246	2602	7934
247	2612	7922
248	2622	7910
249	2633	7900
250	2644	7890
251	2654	7878
252	2664	7867
253	2673	7853
254	2684	7841
255	2695	7832
256	2705	7821
257	2716	7811
258	2725	7797
259	2734	7784
260	2744	7772
261	2754	7758
262	2764	7747
263	2774	7734
264	2783	7720
265	2793	7708
266	2802	7694
267	2812	7682
268	2821	7667
269	2830	7654
270	2840	7641
271	2849	7626
272	2858	7611
273	2867	7597
274	2877	7585
275	2887	7573
276	2897	7563
277	2908	7552
278	2917	7539
279	2927	7528
280	2936	7514
281	2946	7502
282	2957	7493
283	2969	7486
284	2980	7478
285	2993	7473
286	3005	7466
287	3019	7464
288	3031	7458
289	3045	7455
290	3061	7458
291	3077	7461
292	3088	7452
293	3098	7439
294	3107	7427
295	3118	7416
296	3127	7403
297	3137	7391
298	3147	7378
299	3156	7365
300	3167	7354
301	3176	7341
302	3186	7330
303	3196	7317
304	3205	7304
305	3217	7296
306	3226	7283
307	3235	7270
308	3244	7256
309	3254	7243
310	3263	7230
311	3274	7220
312	3284	7208
313	3293	7195
314	3302	7182
315	3312	7169
316	3320	7155
317	3330	7143
318	3339	7129
319	3349	7116
320	3360	7108
321	3369	7094
322	3378	7081
323	3387	7068
324	3396	7054
325	3405	7041
326	3415	7029
327	3425	7018
328	3435	7007
329	3445	6995
330	3458	6990
331	3468	6979
332	3479	6968
333	3489	6958
334	3499	6946
335	3508	6934
336	3517	6921
337	3527	6909
338	3538	6899
339	3548	6887
340	3557	6875
341	3567	6863
342	3577	6852
343	3586	6838
344	3595	6825
345	3605	6814
346	3615	6803
347	3625	6793
348	3635	6781
349	3644	6768
350	3656	6761
351	3666	6749
352	3676	6737
353	3686	6726
354	3696	6716
355	3706	6704
356	3714	6691
357	3724	6679
358	3735	6669
359	3744	6656
360	3753	6644
361	3763	6633
362	3773	6621
363	3784	6611
364	3793	6599
365	3802	6587
366	3812	6575
367	3821	6562
368	3830	6550
369	3841	6540
370	3851	6529
371	3861	6518
372	3872	6509
373	3882	6498
374	3892	6486
375	3901	6474
376	3911	6463
377	3920	6450
378	3928	6437
379	3938	6425
380	3947	6413
381	3956	6400
382	3966	6389
383	3976	6378
384	3986	6367
385	3995	6355
386	4004	6342
387	4014	6331
388	4022	6318
389	4032	6307
390	4042	6296
391	4051	6284
392	4061	6273
393	4070	6260
394	4080	6249
395	4089	6238
396	4098	6225
397	4108	6213
398	4117	6201
399	4126	6189
400	4135	6177
401	4144	6165
402	4155	6155
403	4165	6144
404	4174	6132
405	4184	6121
406	4194	6111
407	4203	6099
408	4212	6087
409	4222	6076
410	4231	6064
411	4241	6053
412	4250	6041
413	4260	6030
414	4270	6019
415	4280	6008
416	4289	5996
417	4298	5985
418	4308	5974
419	4318	5964
420	4327	5951
421	4337	5941
422	4346	5929
423	4356	5917
424	4365	5905
425	4374	5894
426	4383	5882
427	4392	5870
428	4402	5859
429	4413	5850
430	4423	5840
431	4433	5829
432	4442	5817
433	4452	5806
434	4461	5795
435	4471	5784
436	4481	5774
437	4491	5763
438	4500	5751
439	4509	5739
440	4519	5728
441	4528	5717
442	4537	5705
443	4547	5694
444	4556	5683
445	4566	5672
446	4575	5661
447	4585	5649
448	4595	5638
449	4605	5629
450	4615	5618
451	4624	5606
452	4634	5595
453	4643	5584
454	4653	5574
455	4663	5563
456	4672	5551
457	4681	5540
458	4690	5528
459	4699	5517
460	4709	5506
461	4718	5494
462	4727	5482
463	4736	5471
464	4745	5460
465	4755	5449
466	4765	5438
467	4775	5428
468	4784	5417
469	4796	5408
470	4806	5398
471	4816	5387
472	4828	5379
473	4839	5370
474	4848	5359
475	4859	5349
476	4869	5339
477	4879	5328
478	4889	5317
479	4898	5306
480	4908	5296
481	4920	5287
482	4929	5276
483	4938	5265
484	4947	5253
485	4958	5243
486	4967	5232
487	4977	5222
