run,Accuracy,Precision,Recall,F1,F2,F0.5,Average Precision
1,0.9774774774774775,0.8809523809523809,0.7872340425531915,0.8314606741573034,0.8043478260869567,0.8604651162790699,0.708530719169017
2,0.9894894894894894,0.9545454545454546,0.8936170212765957,0.9230769230769231,0.9051724137931034,0.9417040358744396,0.8605055732715308
3,0.972972972972973,0.8222222222222222,0.7872340425531915,0.8043478260869565,0.7939914163090128,0.8149779735682818,0.6622963388920836
4,0.9774774774774775,0.8478260869565217,0.8297872340425532,0.8387096774193549,0.8333333333333333,0.8441558441558441,0.7155272756567853
5,0.9669669669669669,0.7906976744186046,0.723404255319149,0.7555555555555555,0.735930735930736,0.776255707762557,0.591513581864893
6,0.978978978978979,0.9024390243902439,0.7872340425531915,0.8409090909090909,0.8078602620087337,0.8767772511848341,0.725445736343505
7,0.9744744744744744,0.875,0.7446808510638298,0.8045977011494252,0.7675438596491228,0.8454106280193237,0.6696137626988691
8,0.9864864864864865,0.975,0.8297872340425532,0.896551724137931,0.8552631578947368,0.9420289855072466,0.8210545652035013
9,0.9669669669669669,0.8378378378378378,0.6595744680851063,0.7380952380952381,0.6888888888888889,0.7948717948717949,0.5766404702574915
10,0.975975975975976,0.8974358974358975,0.7446808510638298,0.813953488372093,0.7709251101321586,0.8620689655172413,0.6863213458958141
