run,f40_maxidf_jira_all_as_query,f13_ir_log_and_summary_summary_as_query,f1_assignee_is_commiter,f43_maxidf_jira_summary_as_query,f46_maxidf_jira_description_as_query,f24_ir_svn_all_and_summary_svn_all_as_query,f127_maxpmi_jira_all_as_query,f17_ir_log_and_jira_all_jira_all_as_query,f12_ir_log_and_summary_log_as_query,f16_ir_log_and_jira_all_log_as_query,f44_devidf_jira_summary_as_query,f28_ir_svn_all_and_jira_all_svn_all_as_query,f25_ir_svn_all_and_summary_summary_as_query,f15_ir_log_and_description_description_as_query,f29_ir_svn_all_and_jira_all_jira_all_as_query,f18_ir_unitname_and_summary_unitname_as_query,f26_ir_svn_all_and_description_svn_all_as_query,f10_overlap_terms_to_svn,f2_timedif_issuecreation_and_commitcreation,f11_overlap_terms_to_union,f27_ir_svn_all_and_description_description_as_query,f22_ir_unitname_and_jira_all_unitname_as_query,f3_timedif_issueupdated_and_commitcreation,f19_ir_unitname_and_summary_summary_as_query,f9_overlap_terms_compared_to_jira,f23_ir_unitname_and_jira_all_jira_all_as_query,f4_timedif_issueresolved_and_commitcreation,f60_avgictf_jira_summary_as_query,f112_maxscq_jira_all_as_query,f20_ir_unitname_and_description_unitname_as_query,f126_avgpmi_jira_all_as_query,f99_scs_jira_all_as_query,f21_ir_unitname_and_description_description_as_query,f100_scs_jira_summary_as_query,f62_devictf_jira_summary_as_query,f101_scs_jira_description_as_query,f118_maxscq_jira_description_as_query,f128_avgpmi_jira_summary_as_query,f14_ir_log_and_description_log_as_query,f89_deventropy_jira_description_as_query
1,0.0,1379.4002475533634,5821.310402598232,0.0,0.0,180.04550135694444,0.0,282.3409061189741,252.01005938276649,177.605517687276,66.03053710237145,9.360462058335543,23.14409494586289,65.19223521649837,46.50621902104467,109.3508283123374,35.5976112280041,71.78611822426319,329.66292686387897,75.69440505467355,17.982615422457457,27.046566002070904,4997.286552425474,23.689317118376493,42.01736211590469,25.054188596084714,2472.2692876197398,99.39372710883617,204.9558988660574,21.555776216089725,128.8784502632916,101.60122353211045,9.906736932694912,245.7587569653988,50.02801047824323,47.26934015005827,51.53661613725126,15.45373222976923,64.64702573604882,445.635342463851
2,0.0,1292.9163616597652,5450.252723194659,0.0,0.0,98.54779657162726,0.0,279.5770789049566,534.200648156926,62.49846008140594,128.80500936415046,28.624716490507126,17.916607631370425,21.747060034424067,12.870439924299717,132.79236049950123,12.85190912336111,47.18673937302083,417.3163474891335,76.12202380690724,7.48557985201478,74.34483554959297,2665.391939740628,47.83009132556617,51.52068501897156,39.63634811528027,4690.724345332012,250.21159545518458,198.54491995461285,52.551893996074796,156.5719202645123,81.0985599104315,13.546719957143068,160.38344567269087,60.9059554617852,56.68450411781669,83.26881575025618,34.75514183193445,108.99718374758959,571.0949888303876
3,0.0,805.0946627482772,6152.133413698524,0.0,0.0,261.8681478817016,0.0,380.11332868784666,379.8460217565298,126.22691822052002,138.1509187296033,23.998982522636652,57.20624069496989,53.00569040863775,20.490264035761356,314.43155010417104,31.35174318961799,67.4408587552607,569.8232134939171,20.920467583462596,11.116968754678965,40.642827816307545,4573.37209604308,2.7599075827747583,43.613809062168,47.81798468530178,2419.9589458499104,58.502425376325846,209.0463859140873,46.85612658597529,66.18529144860804,128.33708063140512,43.274146877229214,209.78530125692487,53.68064613267779,92.26239609159529,64.95303942635655,177.96067837439477,32.4907375536859,296.8748658504337
4,0.0,1202.7636501789093,6249.060951385647,0.0,0.0,109.21473899111152,0.0,403.1001740079373,507.81453443318605,117.36039160937071,70.08714802190661,73.67115982249379,40.6065655015409,29.330326203256845,62.717371601611376,32.27189685404301,25.480728842318058,76.21739169582725,609.8672244623303,82.22313442081213,10.941349186003208,61.509973272681236,3488.272876229137,2.6659502908587456,43.940131574869156,2.999902907758951,3328.018947051838,116.49793089926243,164.30610249191523,29.43072072789073,186.57217363640666,71.86943866312504,13.100907202810049,65.45949216187,26.40336326882243,27.394549295306206,151.89808408170938,18.978450372815132,43.60702212899923,464.48534709587693
5,0.0,605.4025211893022,6044.647413097322,0.0,0.0,134.70982103049755,0.0,343.69101852271706,565.923701653257,128.02497052960098,183.80672685429454,37.26053134724498,128.1609209664166,9.420416664332151,88.41083176061511,816.3993266951293,37.55955125577748,88.25203833729029,386.25434387102723,102.99172823317349,18.944279653951526,28.58282222226262,4792.853071366437,13.09995935857296,68.52840714529157,181.68200001306832,2036.4276794474572,251.32434143312275,122.56684275530279,9.914719555526972,123.14563651196659,66.77849004417658,8.04591554403305,81.2217304892838,47.48522235453129,43.167779207229614,56.220813266932964,44.25045586377382,57.51345497556031,267.0926269348711
6,0.0,1276.1358365733176,6164.633833040483,0.0,0.0,75.78443504683673,0.0,226.00292777083814,538.4458753094077,216.14019200578332,107.35251780599356,60.51200240291655,32.042421378195286,31.21943039726466,180.68590088002384,22.66072607971728,36.29071141220629,53.37164517492056,379.6832911092788,54.1794802211225,27.14817163348198,23.839677032083273,4724.856984044425,4.692175513133407,39.56854901462793,15.43128877133131,2165.8567289821804,118.96319103613496,316.4976360723376,8.42262813821435,120.97500011324883,206.7212765822187,11.931832671165466,105.96265657991171,43.97698490321636,8.786246471107006,32.454596722498536,12.609126888215542,25.09799492917955,549.596223583445
7,0.0,537.4779794570059,6773.105631030165,0.0,0.0,101.93040454760194,0.0,291.1572773838416,368.21440116502345,339.6198345646262,144.68268051743507,16.734963536262512,42.838181510567665,66.32709617353976,51.03513099811971,113.5662323050201,28.241791106760502,56.338149601593614,574.0228101201355,90.75550661794841,7.47135997004807,25.47250976972282,3960.799032729119,18.046618908643723,91.57879494316876,14.22743708640337,2523.3788918964565,85.10747572593391,123.86981825716794,57.856364987790585,132.09992280323058,17.082924777641892,25.429789846763015,150.12682941555977,122.1806111484766,126.81457925215364,406.9801803249866,10.260707698762417,36.3602904304862,489.2502915672958
8,0.0,601.0779284629971,6570.5922425258905,0.0,0.0,119.51015166193247,0.0,243.27242783084512,484.41382935270667,186.09942073374987,156.92148868367076,174.96972819045186,35.92331115528941,29.053575191646814,27.236961130052805,46.734887663275,19.60265675932169,66.61187860183418,582.9206594116986,86.9057830106467,26.07643036916852,47.66546516492963,4503.154615243897,14.223977524787188,85.28977429494262,30.278676189482212,2330.6125551294535,145.81147103570402,186.2585928402841,58.698422729969025,318.1947472989559,165.93072054162621,12.331210114061832,127.71508860960603,49.05003981292248,56.175160609185696,46.126884795725346,25.98361559957266,28.61168423295021,322.6119555644691
9,0.0,726.4527211198583,6419.270513550378,0.0,0.0,127.47441170178354,0.0,470.9254927765578,788.2142654024065,150.43591056391597,82.7089845938608,30.769382076337934,62.889566238969564,73.53457074798644,32.128700628876686,25.070202484726906,14.823786463588476,18.708589643239975,1054.0014982959256,43.95525525510311,10.268344808369875,9.665374821051955,3353.6021782448515,26.964682523161173,34.816525837406516,11.795922046527267,2824.244353266433,87.81485463492572,162.04220208711922,22.270836863666773,174.87508397176862,98.92507275566459,11.04617815092206,104.5806630551815,42.35062588751316,69.2855769963935,76.60858388384804,71.35638259537518,33.380608580075204,671.4681827258319
10,0.0,1390.5376116987318,5709.831178870983,0.0,0.0,162.21527945064008,0.0,192.72772444412112,706.7524654511362,46.56592709198594,88.3070220053196,159.8837869912386,31.171377358958125,84.29032981023192,45.50901082344353,24.54988826625049,32.82240566238761,42.89224957488477,458.26475150324404,33.292397843673825,9.508451433852315,97.51880251988769,3759.4425028990954,39.77309715375304,73.2198163382709,14.25784881412983,3313.5508335586637,62.679208647459745,397.0156504921615,35.03960509598255,174.42397391796112,31.39130792208016,6.099530532956123,103.71893778815866,33.8323159404099,24.032234959304333,100.35099778696895,70.05431526526809,47.58850881829858,414.43887047376484
