run,f40_maxidf_jira_all_as_query,f13_ir_log_and_summary_summary_as_query,f1_assignee_is_commiter,f43_maxidf_jira_summary_as_query,f46_maxidf_jira_description_as_query,f24_ir_svn_all_and_summary_svn_all_as_query,f127_maxpmi_jira_all_as_query,f17_ir_log_and_jira_all_jira_all_as_query,f12_ir_log_and_summary_log_as_query,f16_ir_log_and_jira_all_log_as_query,f44_devidf_jira_summary_as_query,f28_ir_svn_all_and_jira_all_svn_all_as_query,f25_ir_svn_all_and_summary_summary_as_query,f15_ir_log_and_description_description_as_query,f29_ir_svn_all_and_jira_all_jira_all_as_query,f18_ir_unitname_and_summary_unitname_as_query,f26_ir_svn_all_and_description_svn_all_as_query,f10_overlap_terms_to_svn,f2_timedif_issuecreation_and_commitcreation,f11_overlap_terms_to_union,f27_ir_svn_all_and_description_description_as_query,f22_ir_unitname_and_jira_all_unitname_as_query,f3_timedif_issueupdated_and_commitcreation,f19_ir_unitname_and_summary_summary_as_query,f9_overlap_terms_compared_to_jira,f23_ir_unitname_and_jira_all_jira_all_as_query,f4_timedif_issueresolved_and_commitcreation,f60_avgictf_jira_summary_as_query,f112_maxscq_jira_all_as_query,f20_ir_unitname_and_description_unitname_as_query,f126_avgpmi_jira_all_as_query,f99_scs_jira_all_as_query,f21_ir_unitname_and_description_description_as_query,f100_scs_jira_summary_as_query,f62_devictf_jira_summary_as_query,f101_scs_jira_description_as_query,f118_maxscq_jira_description_as_query,f128_avgpmi_jira_summary_as_query,f14_ir_log_and_description_log_as_query,f89_deventropy_jira_description_as_query,f94_queryscope_jira_summary_as_query,f88_maxentropy_jira_description_as_query,f93_queryscope_jira_all_as_query,f83_medentropy_jira_summary_as_query,f81_deventropy_jira_all_as_query,f42_avgidf_jira_summary_as_query,f86_avgentropy_jira_description_as_query,f52_maxictf_svn_log_as_query,f78_avgentropy_jira_all_as_query,f41_devidf_jira_all_as_query
1,0.0,898.733772941865,6326.518953567371,0.0,0.0,124.2932677809149,0.0,264.2121820319444,355.5082757305354,136.10376611351967,59.64538940414786,64.24868257716298,43.411716777831316,15.061077069491148,333.36049317382276,89.62092135474086,29.388368343934417,58.319390922784805,550.1596906948835,89.49755763448775,4.296877972781658,18.77188877761364,3884.288001190871,34.73901695013046,32.552760457620025,24.77173050865531,2712.4479700922966,117.97092682495713,212.41805998049676,4.353243861347437,138.58349510282278,136.04747093096375,6.954020544886589,114.03609378449619,80.9014872778207,45.67223830148578,30.34989816043526,23.12177836894989,90.61285696923733,382.45580034703016,48.89063875004649,1.237589955329895,35.18112340569496,33.85932201333344,41.24870775640011,7.037347570993006,75.29119105264544,139.18730724975467,6.2039289474487305,95.09069690480828
2,0.0,620.7161907572299,6096.925191404298,0.0,0.0,727.9572975095361,0.0,792.7231635097414,353.4141306914389,287.8567206989974,64.04298776201904,38.10442546568811,17.78801472298801,16.773950178176165,72.65773637965322,26.87127509713173,45.15212385170162,94.30624889396131,740.9658250082284,203.3542690668255,50.40559893473983,19.91654783114791,3242.0378107614815,17.693603917956352,36.4966694554314,13.570082755759358,2554.163619844243,84.80126414634287,152.86307868547738,5.67597759142518,114.9012143034488,62.49619025364518,24.45841707289219,103.39795587211847,53.37608038634062,32.53681356832385,122.23216595873237,8.45825620740652,16.41482630558312,118.17174330353737,378.6365017676726,2.9749139547348022,21.50701802968979,37.993040760979056,6.692322961986065,12.354899290949106,67.00211716815829,237.32945761363953,4.077563047409058,217.1025432664901
3,0.0,517.0383005533367,6178.258719591424,0.0,0.0,175.8804777842015,0.0,353.0342889036983,1003.7053507938981,330.01202425546944,98.78569106757641,71.97623314522207,44.26794793829322,34.4528019502759,38.44746467657387,46.170179542154074,8.28735263645649,53.51320091076195,669.8092876859009,76.19258700311184,24.71851483359933,31.303463201969862,3547.120600257069,9.715232418850064,19.232024101540446,266.8489518761635,2543.7706171702594,211.2416562344879,257.12488438002765,9.671700930222869,52.223514419049025,18.616998985409737,21.469083102419972,49.82548285648227,31.700102109462023,90.54176192730665,50.22933777794242,67.79780480265617,22.06061476096511,39.644922487437725,359.5629002712667,183.51979619823396,13.274172816425562,78.98074573278427,3.6264189518988132,13.03442370891571,71.2781636826694,174.04380086250603,1.3571922853589058,52.353581726551056
4,0.0,374.9518753644079,6248.378478584811,0.0,0.0,197.88094720244408,0.0,398.6820924319327,507.25186785683036,184.76447072438896,354.8802124597132,75.56784426793456,41.19400245510042,67.99841529130936,43.88620463386178,22.433569891378284,42.05887261405587,209.723765168339,305.2634221203625,66.1391042470932,22.17163486406207,53.28642215579748,3572.299756012857,59.59815293736756,45.847010262310505,720.2231279108673,2524.1335069797933,124.95445736125112,115.4801572561264,10.16339348256588,158.21780992299318,73.31208946183324,7.737377144396305,49.87441069819033,27.5373676950112,10.68522073701024,155.5578825250268,19.836508311331272,69.2380048353225,56.960973367094994,190.66715811938047,215.93654028698802,7.565054602921009,42.61856646835804,19.239672724157572,18.095689438283443,125.5261161737144,262.14013426937163,1.0315799713134766,117.44009245373309
5,0.0,834.2929816953838,6162.671859677881,0.0,0.0,157.87065401300788,0.0,463.0865730047226,383.5496616140008,69.62768986448646,90.81085185334086,41.329291846603155,117.24568692222238,17.333494372665882,70.37550580874085,190.81230906769633,8.553374851122499,58.32428513467312,363.423326658085,45.51750835776329,23.16471141204238,35.39486410655081,4017.987555164844,16.068883700296283,66.03718443214893,9.685336915776134,2893.7869353126734,108.18953998014331,171.24003949016333,6.2887032106518745,177.2617017775774,38.7912939414382,6.9313531704247,69.85556285455823,98.06557453982532,29.860438834875822,79.07190603017807,15.809795919805765,32.542081877589226,57.44386357627809,32.289998691529036,405.0529247932136,7.509563136845827,64.29021356627345,14.10089673474431,5.995183680206537,140.65188226476312,166.7694468665868,0.6623659729957581,149.83834993653
6,0.0,468.3288818206638,6198.053755383939,0.0,0.0,201.0885602608323,0.0,553.6991939153522,873.2277953438461,78.44274502247572,60.00121250003576,219.2423912025988,20.737716913223267,51.97498908266425,31.836752776056528,22.65309063717723,15.385316289961338,55.42378067970276,738.5494288131595,72.44526286423206,28.485946089029312,41.5854455716908,1643.640053796582,18.122786201536655,108.42114719748497,66.60674892365932,4711.226353658363,25.692529246211052,173.71642299741507,17.0570100992918,102.35438856855035,68.45081452652812,8.930766075849533,61.76306298002601,33.60460679233074,45.765447061508894,30.064517680555582,21.813509941101074,36.997570011764765,245.7508833296597,333.1164371948689,94.83383569866419,6.441333886235952,33.77237996831536,59.4426163546741,9.43688115477562,15.118900686502457,247.4111968651414,2.8559207879006863,53.11759941279888
7,0.0,692.7307865917683,5815.098874926567,0.0,0.0,129.3480403497815,0.0,732.5987650044262,736.9739593043923,105.93091453239322,116.32940310239792,23.433378072455525,80.25606660544872,25.965005587786436,38.58691146597266,47.799969639629126,42.29242725856602,98.03906221315265,569.3963493742049,79.9154765792191,30.958949141204357,68.48105750977993,4361.221204703674,23.82182140275836,46.10706244781613,19.743444178253412,2313.4245797302574,212.30430921912193,184.52091221138835,15.077745594084263,54.92418084666133,65.09724717214704,13.233588732779026,94.0498222950846,32.81210605055094,22.294163662940264,143.24866011738777,11.779714651405811,24.530816327780485,101.20727034844458,288.3451113142073,89.95881574600935,0.48669809848070145,62.197441725060344,9.484918013215065,9.354019816964865,7.759492035955191,275.9070674944669,0.3103720098733902,95.28349920362234
8,0.0,379.47528172284365,6611.118093554862,0.0,0.0,59.4489582903916,0.0,350.6709997151047,535.2319655865431,799.836927337572,73.9104143474251,55.56504928227514,37.58351597003639,13.443617498502135,45.39262296259403,9.223842546343803,41.96842027641833,93.38027599081397,465.98285927949473,112.54124348983169,51.14301882870495,38.49245626479387,3901.967649287544,6.1674979496747255,47.78506697155535,147.78341931290925,2316.9403243102133,45.587175196036696,101.20914513990283,7.265532562509179,186.59821395762265,54.47926826030016,15.84185879305005,35.635196367278695,43.5838458687067,1.0666737146675587,16.430864291265607,17.828414998948574,73.21528698503971,119.66874127462506,346.7078468836844,163.93353955075145,5.608909919857979,110.43661589547992,18.767980594187975,26.771881276741624,103.16405045241117,139.2547818806488,0.654124990105629,175.21277920994908
9,0.0,1197.0850667133927,5859.171158168465,0.0,0.0,104.64678451418877,0.0,365.46213445067406,406.2184554822743,63.97686550207436,71.3974569812417,63.11282420158386,50.44808907061815,80.79391450434923,209.44468477368355,68.276910148561,9.85455610230565,33.686701161786914,648.7427675519139,49.03637797012925,42.9041683524847,37.78611992672086,4140.834363726899,10.397146537899971,42.16325765475631,13.555462397634983,2597.185898538679,61.684645373374224,211.02540239878,14.355297058820724,83.69724493473768,56.99763435870409,6.6888694651424885,102.04785448871553,26.84775372967124,59.30084173567593,33.71899189800024,28.1987357288599,25.606643598526716,130.7348093111068,158.68576504662633,160.15062389150262,3.6300749257206917,100.29607645049691,19.759938821196556,22.88304411061108,10.217246450483799,357.90661516040564,19.753141164779663,140.09647397883236
10,0.0,815.4823069665581,6391.569350099191,0.0,0.0,140.93070293124765,0.0,123.0465433690697,727.5266614966094,160.35024925135076,124.4825558308512,30.769077513366938,59.2061697691679,26.537347016856074,48.325494814664125,14.61949186399579,32.9392264559865,88.32498368620872,652.6947944574058,114.48668913543224,18.830074911937118,14.048789367079735,3675.6000212728977,22.286336997523904,37.11966681852937,76.93843438103795,2596.0742813739926,122.18022860959172,245.75758702494204,28.610841400921345,77.00498403608799,70.60899356007576,15.234990000724792,40.20358480140567,23.37314324826002,26.442073859274387,62.89933896251023,37.48294852860272,28.45576861873269,356.35903844609857,360.508536670357,1.622480969876051,12.719293061643839,35.294115621596575,44.99757886119187,47.42635998874903,14.470415737479925,294.89313185960054,0.06265939772129059,81.11016861349344
