run,f1_assignee_is_commiter,f2_timedif_issuecreation_and_commitcreation,f3_timedif_issueupdated_and_commitcreation,f4_timedif_issueresolved_and_commitcreation,f5_total_terms_jira,f6_total_terms_svn,f7_unique_terms_jira,f8_unique_terms_svn,f9_overlap_terms_compared_to_jira,f10_overlap_terms_to_svn,f11_overlap_terms_to_union,f12_ir_log_and_summary_log_as_query,f13_ir_log_and_summary_summary_as_query,f14_ir_log_and_description_log_as_query,f15_ir_log_and_description_description_as_query,f16_ir_log_and_jira_all_log_as_query,f17_ir_log_and_jira_all_jira_all_as_query,f18_ir_unitname_and_summary_unitname_as_query,f19_ir_unitname_and_summary_summary_as_query,f20_ir_unitname_and_description_unitname_as_query,f21_ir_unitname_and_description_description_as_query,f22_ir_unitname_and_jira_all_unitname_as_query,f23_ir_unitname_and_jira_all_jira_all_as_query,f24_ir_svn_all_and_summary_svn_all_as_query,f25_ir_svn_all_and_summary_summary_as_query,f26_ir_svn_all_and_description_svn_all_as_query,f27_ir_svn_all_and_description_description_as_query,f28_ir_svn_all_and_jira_all_svn_all_as_query,f29_ir_svn_all_and_jira_all_jira_all_as_query,f30_avgidf_svn_all_as_query,f31_maxidf_svn_all_as_query,f32_devidf_svn_all_as_query,f33_avgidf_log_as_query,f34_maxidf_log_as_query,f35_devidf_log_as_query,f36_avgidf_unitname_as_query,f37_maxidf_unitname_as_query,f38_devidf_unitname_as_query,f39_avgidf_jira_all_as_query,f40_maxidf_jira_all_as_query,f41_devidf_jira_all_as_query,f42_avgidf_jira_summary_as_query,f43_maxidf_jira_summary_as_query,f44_devidf_jira_summary_as_query,f45_avgidf_jira_description_as_query,f46_maxidf_jira_description_as_query,f47_devidf_jira_description_as_query,f48_avgictf_svn_all_as_query,f49_maxictf_svn_all_as_query,f50_devictf_svn_all_as_query,f51_avgictf_svn_log_as_query,f52_maxictf_svn_log_as_query,f53_devictf_svn_log_as_query,f54_avgictf_svn_unitname_as_query,f55_maxictf_svn_unitname_as_query,f56_devictf_svn_unitname_as_query,f57_avgictf_jira_all_as_query,f58_maxictf_jira_all_as_query,f59_devictf_jira_all_as_query,f60_avgictf_jira_summary_as_query,f61_maxictf_jira_summary_as_query,f62_devictf_jira_summary_as_query,f63_avgictf_jira_description_as_query,f64_maxictf_jira_description_as_query,f65_devictf_jira_description_as_query,f66_avgentropy_svn_all_as_query,f67_medentropy_svn_all_as_query,f68_maxentropy_svn_all_as_query,f69_deventropy_svn_all_as_query,f70_avgentropy_svn_log_as_query,f71_medentropy_svn_log_as_query,f72_maxentropy_svn_log_as_query,f73_deventropy_svn_log_as_query,f74_avgentropy_svn_unitname_as_query,f75_medentropy_svn_unitname_as_query,f76_maxentropy_svn_unitname_as_query,f77_deventropy_svn_unitname_as_query,f78_avgentropy_jira_all_as_query,f79_medentropy_jira_all_as_query,f80_maxentropy_jira_all_as_query,f81_deventropy_jira_all_as_query,f82_avgentropy_jira_summary_as_query,f83_medentropy_jira_summary_as_query,f84_maxentropy_jira_summary_as_query,f85_deventropy_jira_summary_as_query,f86_avgentropy_jira_description_as_query,f87_medentropy_jira_description_as_query,f88_maxentropy_jira_description_as_query,f89_deventropy_jira_description_as_query,f90_queryscope_svn_all_as_query,f91_queryscope_svn_log_as_query,f92_queryscope_svn_unitname_as_query,f93_queryscope_jira_all_as_query,f94_queryscope_jira_summary_as_query,f95_queryscope_jira_description_as_query,f96_scs_svn_all_as_query,f97_scs_svn_log_as_query,f98_scs_svn_unitname_as_query,f99_scs_jira_all_as_query,f100_scs_jira_summary_as_query,f101_scs_jira_description_as_query,f102_SvnAsQuery_avgSCQ,f103_SvnAsQuery_maxSCQ,f104_SvnAsQuery_sumSCQ,f105_avgscq_svn_log_as_query,f106_maxscq_svn_log_as_query,f107_sumscq_svn_log_as_query,f108_avgscq_svn_unitname_as_query,f109_maxscq_svn_unitname_as_query,f110_sumscq_svn_unitname_as_query,f111_avgscq_jira_all_as_query,f112_maxscq_jira_all_as_query,f113_sumscq_jira_all_as_query,f114_avgscq_jira_summary_as_query,f115_maxscq_jira_summary_as_query,f116_sumscq_jira_summary_as_query,f117_avgscq_jira_description_as_query,f118_maxscq_jira_description_as_query,f119_sumscq_jira_description_as_query,f120_avgpmi_svn_all_as_query,f121_maxpmi_svn_all_as_query,f122_avgpmi_svn_log_as_query,f123_maxpmi_svn_log_as_query,f124_avgpmi_svn_unitname_as_query,f125_maxpmi_svn_unitname_as_query,f126_avgpmi_jira_all_as_query,f127_maxpmi_jira_all_as_query,f128_avgpmi_jira_summary_as_query,f129_maxpmi_jira_summary_as_query,f130_avgpmi_jira_description_as_query,f131_maxpmi_jira_description_as_query
1,0.044180747121572495,0.005630697589367628,0.020156433805823326,0.03319574147462845,0.005206133704632521,0.0020691906102001667,0.0017469213344156742,0.005806277971714735,0.005231999792158604,0.0057780505158007145,0.003670117584988475,0.017741575837135315,0.010709564201533794,0.009997084736824036,0.009200557135045528,0.013454611413180828,0.004723133519291878,0.005324727855622768,0.00547244306653738,0.002493449719622731,0.012831908650696278,0.008636264130473137,0.004484695848077536,0.00948979239910841,0.008010268211364746,0.010346692055463791,0.004113150294870138,0.024572039023041725,0.017701080068945885,0.004557706415653229,0.00019912258721888065,0.00423706928268075,0.004883456509560347,0.0007675174274481833,0.002927582012489438,0.004672565963119268,0.006918180268257856,0.0030144345946609974,0.0053420038893818855,0.0,0.005968467798084021,0.004780229646712542,0.0,0.010713151656091213,0.005554945208132267,0.0,0.004143496509641409,0.0,0.0,0.0,0.0026078075170516968,0.006131496746093035,0.005828367546200752,0.0007996934582479298,0.0,0.010536715388298035,0.010428915731608868,0.0019677828531712294,0.005251421593129635,0.015196447260677814,0.001575089292600751,0.010684731416404247,0.007043234538286924,0.016638141125440598,0.006365392357110977,0.004288112744688988,0.0071013872511684895,0.007379482034593821,0.003321985714137554,0.0035955915227532387,0.006611156743019819,0.0323203019797802,0.0070588309317827225,0.0055586202070117,0.003299722447991371,0.00236787018366158,0.001987733878195286,0.005235359072685242,0.01027351152151823,0.015764527022838593,0.0030422471463680267,0.0018579968018457294,0.004716568626463413,0.020759904757142067,0.009172048419713974,0.01194776315242052,0.011506288312375546,0.0,0.003787366207689047,0.005868144799023867,0.005358784459531307,0.004165328107774258,0.01136092934757471,0.013975178822875023,0.003362341085448861,0.006622170098125935,0.00338059407658875,0.008401179686188698,0.0072409301064908504,0.011408286169171333,0.006886154413223267,0.01359050814062357,0.004535001702606678,0.0,0.002729338128119707,0.0026169358752667904,0.0,0.003932275343686342,0.0031315828673541546,0.0,0.010291749611496925,0.005197875667363405,0.0,0.02861051633954048,0.010598202235996723,0.0,0.024064159020781517,0.006007802672684193,0.0,0.007992415688931942,0.008357012644410133,0.002082324353978038,0.0023680913727730513,0.003943548537790775,0.0,0.013894324190914631,0.019007984548807144,0.008473417721688747,0.004627533722668886,0.010576993227005005,0.05067548528313637
2,0.03885301202535629,0.006655876524746418,0.018184667453169823,0.03542190045118332,0.002149888314306736,0.0024320860393345356,0.011471142061054707,0.0006915069534443319,0.0049205864779651165,0.005833897739648819,0.003833850147202611,0.02238406613469124,0.013516325503587723,0.005460555665194988,0.009063293226063251,0.013016846962273121,0.003427810501307249,0.004840918816626072,0.005584087688475847,0.00853999424725771,0.006629082374274731,0.012194860726594925,0.009524805471301079,0.011179418303072453,0.004527361132204533,0.012454753741621971,0.004586157854646444,0.020728375762701035,0.019316095858812332,0.006685829721391201,0.013203520327806473,0.003284923965111375,0.0027196775190532207,0.002961226273328066,0.0040031252428889275,0.005181805696338415,0.00633342657238245,0.0043616704642772675,0.00376375624909997,0.0,0.012713258154690266,0.007834517396986485,0.032299548387527466,0.003061762312427163,0.009714627638459206,0.0,0.004051509313285351,0.0,0.0,0.0,0.0019787426572293043,0.004797752946615219,0.009947579354047775,0.003151828423142433,0.0,0.0007814699783921242,0.005111386068165302,0.0032667075283825397,0.012107054702937603,0.01523401029407978,0.014232965186238289,0.008119918406009674,0.009193385019898415,0.006436159368604422,0.005280339624732733,0.009017596952617168,0.009240579791367054,0.0004993149777874351,0.002871450735256076,0.0047148047015070915,0.006000868510454893,0.011814288794994354,0.0038680003490298986,0.007586604915559292,0.0032964057754725218,0.0,0.010143119841814041,0.006662622559815645,0.006670507602393627,0.0,0.0018729453440755606,0.004939486272633076,0.005800765939056873,0.0009869614150375128,0.0056472839787602425,0.004086335189640522,0.006815511733293533,0.0022145670372992754,0.010683059692382812,0.0014577587135136127,0.004860046319663525,0.0018213876755908132,0.004958577919751406,0.004148491192609072,0.005280422046780586,0.0031207329593598843,0.004686957225203514,0.012097236700356007,0.00784396007657051,0.015424431301653385,0.004221509676426649,0.012667597271502018,0.0027149044908583164,0.0,0.0052805375307798386,0.003301682649180293,0.0,0.004782946780323982,0.0022962181828916073,0.0,0.009168948978185654,0.006244152318686247,0.0,0.01936296373605728,0.008543549105525017,0.0,0.014422200620174408,0.007984059862792492,0.0,0.005291054490953684,0.003796195611357689,0.001992813777178526,0.002109156921505928,0.0070008812472224236,0.011532633565366268,0.002739610383287072,0.006021276582032442,0.011896410956978798,0.003916970919817686,0.015431610867381096,0.09691032022237778
3,0.03853970393538475,0.008072328753769398,0.016643913462758064,0.04112716764211655,0.0030082836747169495,0.004629290197044611,0.006733014713972807,0.0023084022104740143,0.011358874849975109,0.005725120194256306,0.006205060053616762,0.02067270688712597,0.01443802285939455,0.008007186464965343,0.011560147628188133,0.013991656713187695,0.007676499430090189,0.00584456417709589,0.0035717892460525036,0.007727986201643944,0.011951078660786152,0.007444445975124836,0.02450515329837799,0.01117070484906435,0.006051352247595787,0.008233851753175259,0.0036533798556774855,0.027617573738098145,0.021806683391332626,0.008120440877974033,0.0023690161760896444,0.007305874954909086,0.0024582648184150457,0.0031041991896927357,0.0035589539911597967,0.008053209632635117,0.0056214602664113045,0.006797690410166979,0.010511759668588638,0.0,0.003901853458955884,0.020126353949308395,0.04036320373415947,0.004187020473182201,0.005162405781447887,0.0,0.0008678978774696589,0.0,0.0,0.0,0.003322959179058671,0.0060505992732942104,0.005904524587094784,0.0007549362489953637,0.004987089429050684,0.006468307226896286,0.003635364817455411,0.0025670842733234167,0.00651056133210659,0.009543142281472683,0.0029077520594000816,0.005311795976012945,0.011976351961493492,0.003516323631629348,0.01173502765595913,0.008443760685622692,0.008319132030010223,0.0231743436306715,0.007009608671069145,0.0016348042991012335,0.007986066862940788,0.005364829674363136,0.00428971741348505,0.0058023459278047085,0.0113733084872365,0.0,0.0017688869265839458,0.006334610283374786,0.00833735242486,0.0048347641713917255,0.003317616181448102,0.0008965388406068087,0.004208971746265888,0.0,0.001789939240552485,0.01817755587399006,0.008312633261084557,0.0,0.007591138128191233,0.004380959551781416,0.010854288935661316,0.0033977737184613943,0.01195861492305994,0.012521815486252308,0.004074868280440569,0.009562335908412933,0.005867494735866785,0.00398907670751214,0.00829240307211876,0.017554890364408493,0.009076916612684727,0.010528437793254852,0.0032898494973778725,0.0,0.004011515527963638,0.002857521641999483,0.0,0.00819324143230915,0.005425871349871159,0.0,0.0004518656060099602,0.006993506569415331,0.0,0.01876114495098591,0.013519257307052612,0.0,0.005607089027762413,0.009690448641777039,0.0,0.006116300355643034,0.005631334614008665,0.004181970376521349,0.004427269566804171,0.0029859847854822874,0.004228311590850353,0.0033015890512615442,0.012395396828651428,0.010255740024149418,0.006006120704114437,0.016038792207837105,0.006624707952141762
4,0.033459875732660294,0.008946516551077366,0.01723671704530716,0.03864689916372299,0.005930675193667412,0.004009179305285215,0.001973451115190983,0.007051945198327303,0.00963397603482008,0.004162098281085491,0.004331773612648249,0.021048495545983315,0.01824246346950531,0.007138955872505903,0.011822069995105267,0.00924653746187687,0.004869287833571434,0.009887538850307465,0.005547955632209778,0.0033191461116075516,0.009895130060613155,0.006331002339720726,0.015926234424114227,0.012613276019692421,0.006624329835176468,0.011754389852285385,0.004589503165334463,0.029763128608465195,0.05730884522199631,0.006000298075377941,0.004712192341685295,0.0023769333492964506,0.004327914211899042,0.00449930876493454,0.003793673822656274,0.0033305708784610033,0.015121173113584518,0.0043661328963935375,0.008111315779387951,0.0,0.009007119573652744,0.0027108893264085054,0.052919816225767136,0.004640303086489439,0.0031521942000836134,0.0,0.004436849616467953,0.0,0.0,0.0,0.003472548210993409,0.003437626175582409,0.005192350596189499,0.004510283004492521,0.0005251427064649761,0.0075969938188791275,0.008928363211452961,0.002084762090817094,0.007394622080028057,0.015271640382707119,0.005189873278141022,0.009600651450455189,0.0070332796312868595,0.0030100655276328325,0.007215454708784819,0.0055655972100794315,0.006342980079352856,0.0,0.004280643537640572,0.00851754192262888,0.006317309569567442,0.011971685104072094,0.004317748360335827,0.0046013761311769485,0.0055242544040083885,0.0,0.003316316520795226,0.0011057667434215546,0.007825261913239956,0.0,0.0012352140620350838,0.010140934959053993,0.002507241442799568,0.02352660521864891,0.002375455340370536,0.007017234340310097,0.010148374363780022,0.0018531549721956253,0.016053013503551483,0.00431985454633832,0.009343327954411507,0.00796262826770544,0.01067016925662756,0.01359002199023962,0.010371275246143341,0.006057411432266235,0.0034277341328561306,0.0020891998428851366,0.005244383122771978,0.010265620425343513,0.0057297577150166035,0.01294979453086853,0.004395023919641972,0.0,0.005714827682822943,0.0030490360222756863,0.0,0.004271361045539379,0.007571366149932146,0.0,0.005004398990422487,0.004064335487782955,0.0,0.02612895518541336,0.006632245145738125,0.0,0.007607785984873772,0.007233230862766504,0.0,0.006615761201828718,0.0024350257590413094,0.0030062287114560604,0.007080127950757742,0.007676879409700632,0.001040601055137813,0.0011655332054942846,0.016092022880911827,0.0084397466853261,0.005484423600137234,0.007444377057254314,0.0
5,0.038479480892419815,0.008296681568026543,0.023574119433760643,0.03299308568239212,0.006040588486939669,0.0009387847385369241,0.01590101420879364,0.007413356564939022,0.008825697936117649,0.005763497669249773,0.004094827454537153,0.02003694698214531,0.017036307603120804,0.008942384272813797,0.011066028848290443,0.010746670886874199,0.008129584603011608,0.00969669595360756,0.007569300010800362,0.006762092001736164,0.015032215043902397,0.00526741798967123,0.01777123473584652,0.008733301423490047,0.004745011683553457,0.02270241640508175,0.008778801187872887,0.01619539223611355,0.01599007099866867,0.008212614804506302,0.006585156079381704,0.007623559329658747,0.004539505112916231,0.001972115831449628,0.0030804870184510946,0.007409129291772842,0.0071596140041947365,0.00720174377784133,0.008667810820043087,0.0,0.006733010523021221,0.012730112299323082,0.042061399668455124,0.006446169223636389,0.006179701071232557,0.0,0.006191846448928118,0.0,0.0,0.0,0.002343942178413272,0.003662066999822855,0.006014506332576275,0.0019704836886376143,0.0,0.008810518309473991,0.014138028025627136,0.005877223797142506,0.009423909708857536,0.017952751368284225,0.004049439448863268,0.012499932199716568,0.006706640124320984,0.0049856738187372684,0.007551698945462704,0.0022433213889598846,0.005667886696755886,0.0011948039755225182,0.003837376367300749,0.005324374418705702,0.004718976095318794,0.01637226715683937,0.005592636298388243,0.006659473292529583,0.005375947803258896,0.007970673963427544,0.00021407251188065857,0.01343169342726469,0.0075636995024979115,0.004424989689141512,0.003713182872161269,0.000713049026671797,0.0031845385674387217,0.0008026312571018934,0.001949653378687799,0.002606137190014124,0.014102508313953876,0.0011543289292603731,0.009505322203040123,0.007182583212852478,0.007288442924618721,0.004540302790701389,0.016653507947921753,0.002552462974563241,0.002265720162540674,0.00823165476322174,0.005084375850856304,0.0002460855757817626,0.012293838895857334,0.01302396785467863,0.016131795942783356,0.010660461150109768,0.002612596144899726,0.0,0.0038024652749300003,0.0031216184142977,0.0,0.004989531822502613,0.006979384925216436,0.0,0.0027704157400876284,0.008956865407526493,0.0,0.015438237227499485,0.008305534720420837,0.0,0.005858770105987787,0.0017578889383003116,0.0,0.005653498228639364,0.007157373242080212,0.0028753355145454407,0.005052858963608742,0.005893673747777939,0.004572908394038677,0.00457383506000042,0.008072663098573685,0.011801255866885185,0.0024380360264331102,0.011098572053015232,0.01543408539146185
6,0.04269348829984665,0.010774410329759121,0.01566355489194393,0.038549330085515976,0.0013815393904224038,0.004020176362246275,0.004795582499355078,0.004877127707004547,0.00390864722430706,0.00852430984377861,0.003745285328477621,0.015754837542772293,0.02351321093738079,0.012427423149347305,0.008692252449691296,0.011393723078072071,0.008876063860952854,0.013607264496386051,0.0033740694634616375,0.008854370564222336,0.026077711954712868,0.008503825403749943,0.005068632774055004,0.008881969377398491,0.007561510894447565,0.01749846152961254,0.009177803993225098,0.016238784417510033,0.023176852613687515,0.004574364982545376,0.002208916237577796,0.006831184960901737,0.008490823209285736,0.004294548649340868,0.0030819401144981384,0.006293958518654108,0.0018660565838217735,0.003780541941523552,0.006863733287900686,0.0,0.006295382976531982,0.005417463835328817,0.0283956415951252,0.014049614779651165,0.004026039969176054,0.0,0.005692804232239723,0.0,0.0,0.0,0.004759419709444046,0.0035999317187815905,0.004964975640177727,0.0018132439581677318,0.004592523910105228,0.003552220528945327,0.005525275599211454,0.012878475710749626,0.007929779589176178,0.016918284818530083,0.002282865112647414,0.007120853755623102,0.007386878132820129,0.002500485861673951,0.002712997142225504,0.008592106401920319,0.012686296366155148,0.00231197034008801,0.004220471251755953,0.004060296341776848,0.00893193855881691,0.007357316091656685,0.005097584333270788,0.006926755886524916,0.0019163511460646987,0.0,0.0025032889097929,0.004230364691466093,0.009340517222881317,0.005523816682398319,0.003806697903200984,0.008213352411985397,0.00757533498108387,0.0,0.007739941123872995,0.001677136868238449,0.010184060782194138,0.0007989418227225542,0.011178320273756981,0.008292670361697674,0.008740999735891819,0.005973162595182657,0.014489605091512203,0.02322543039917946,0.01337282545864582,0.01082058809697628,0.004516694229096174,0.005544638726860285,0.005095864180475473,0.019793745130300522,0.009001036174595356,0.005412039812654257,0.004656166769564152,0.0,0.004137248732149601,0.00516712898388505,0.0,0.0027651910204440355,0.008419137448072433,0.0,0.0052796597592532635,0.004551451187580824,0.0,0.02189435251057148,0.010215787217020988,0.0,0.0,0.009902172721922398,0.0,0.005350753199309111,0.007603326812386513,0.0020042089745402336,0.002356740878894925,0.005183471366763115,0.003831420559436083,0.007558193989098072,0.025505755096673965,0.010227993130683899,0.007278671953827143,0.008645580150187016,0.0
7,0.035115621984004974,0.010004622861742973,0.026426082476973534,0.040005527436733246,0.006998788099735975,0.0047370148822665215,0.007097696885466576,0.003280404955148697,0.005386240780353546,0.005506239365786314,0.0077348449267446995,0.020944520831108093,0.015085699036717415,0.006006963085383177,0.01173480600118637,0.007158213295042515,0.005168756935745478,0.005433416459709406,0.014781966805458069,0.010380969382822514,0.012381003238260746,0.006589462514966726,0.005198375787585974,0.002958211349323392,0.0043845889158546925,0.00758102722465992,0.006653327960520983,0.026327330619096756,0.017761997878551483,0.005316580180078745,0.0038060799706727266,0.0034300098195672035,0.0052965134382247925,0.0017693963600322604,0.004155174363404512,0.004709618631750345,0.0005458031664602458,0.005035812500864267,0.016915682703256607,0.0,0.012041090056300163,0.0060263099148869514,0.021406956017017365,0.004514581989496946,0.005403348710387945,0.0,0.014893579296767712,0.0,0.0,0.0,0.0019183247350156307,0.006438808515667915,0.005204157438129187,0.0023859450593590736,0.0013820225140079856,0.012433981522917747,0.010650498792529106,0.006896340753883123,0.009706634096801281,0.015526271425187588,0.0020499974489212036,0.009566711261868477,0.004695921670645475,0.006440284661948681,0.006400158628821373,0.010722257196903229,0.008901004679501057,0.006800282280892134,0.004248030949383974,0.008753062225878239,0.004692402668297291,0.009910140186548233,0.003919458948075771,0.009181097149848938,0.004292843397706747,0.0052893864922225475,0.010680031962692738,0.00531540485098958,0.009439431130886078,0.0029627035837620497,0.004185582045465708,0.0016466298839077353,0.008295174688100815,0.000930755224544555,0.0066950516775250435,0.010491392575204372,0.012408421374857426,0.0008294241852127016,0.017137302085757256,0.0013889640104025602,0.00489861099049449,0.0031932012643665075,0.018235519528388977,0.0015990620013326406,0.003349045757204294,0.0061343214474618435,0.005392728839069605,0.003983840811997652,0.007580077275633812,0.014195653609931469,0.005950493738055229,0.004518571309745312,0.004199751652777195,0.0,0.005198548082262278,0.004446785897016525,0.0,0.01332628633826971,0.005155767314136028,0.0,0.008945563808083534,0.007376354653388262,0.0,0.021240388974547386,0.005521700251847506,0.0,0.013786275871098042,0.007977115921676159,0.0,0.010529706254601479,0.007273247931152582,0.0042320010252296925,0.005796534474939108,0.00491821113973856,0.009291048161685467,0.015321686863899231,0.0,0.013238806277513504,0.004883636720478535,0.005604410544037819,0.017802514135837555
8,0.04041626676917076,0.007566649932414293,0.020552901551127434,0.03520979359745979,0.006704496219754219,0.005027095787227154,0.004291319753974676,0.000744771386962384,0.005664132535457611,0.0030162325128912926,0.004351574927568436,0.023194624111056328,0.012428647838532925,0.014567442238330841,0.007930733263492584,0.013932705856859684,0.004915053024888039,0.006636382546275854,0.003945834003388882,0.007006452884525061,0.0052144709043204784,0.006902510300278664,0.017378559336066246,0.014742260798811913,0.009069854393601418,0.010562426410615444,0.005008277483284473,0.010107999667525291,0.010507391765713692,0.010631646029651165,0.0020772675052285194,0.0025585214607417583,0.004198218230158091,0.00864788331091404,0.004622863605618477,0.007630805019289255,0.006799708586186171,0.003804968437179923,0.011510170064866543,0.0,0.0053527820855379105,0.0013561276718974113,0.06043636053800583,0.006378763355314732,0.00642433250322938,0.0,0.0072652664966881275,0.0,0.0,0.0,0.0031341242138296366,0.003057266818359494,0.005334338638931513,0.0014962282730266452,0.00039102142909541726,0.005159619729965925,0.005336196161806583,0.013666144572198391,0.00699449609965086,0.02130749076604843,0.004262613598257303,0.011511772871017456,0.001932709477841854,0.004138195887207985,0.005478882230818272,0.0011220682645216584,0.009835312142968178,0.0005328716360963881,0.004833548329770565,0.0037172564771026373,0.007468982599675655,0.006588139105588198,0.009421899914741516,0.006913695950061083,0.0032284040935337543,0.0,0.005018978379666805,0.012805894948542118,0.005344200413674116,0.0,0.0020596347749233246,0.008025496266782284,0.0070629725232720375,0.0010398756712675095,0.0073416284285485744,0.014919030480086803,0.010271308943629265,0.006855118554085493,0.0020227874629199505,0.010763769969344139,0.005845892243087292,0.012077954597771168,0.014138555154204369,0.003744620829820633,0.0038254668470472097,0.012519906274974346,0.00467724958434701,0.0009429380879737437,0.007114702370017767,0.013074793852865696,0.007907849736511707,0.009808584116399288,0.004412442445755005,0.0,0.004386572167277336,0.0037394645623862743,0.0,0.0032868762500584126,0.004201944917440414,0.0,0.002578038489446044,0.014309908263385296,0.0,0.018291398882865906,0.00725399749353528,0.0,0.02571916952729225,0.008950741030275822,0.0,0.0046766456216573715,0.005520382896065712,0.003215240081772208,0.005112707149237394,0.004781982861459255,0.0005533545627258718,0.0014473159098997712,0.0005885498248971999,0.018089283257722855,0.004243698436766863,0.010892952792346478,0.040382299572229385
9,0.03216441720724106,0.006479572504758835,0.01852399669587612,0.034240446984767914,0.017603226006031036,0.009836078621447086,0.0027432143688201904,0.00857539102435112,0.008801763877272606,0.0075101531110703945,0.0061979047022759914,0.02108970284461975,0.009600411169230938,0.005466894246637821,0.01048395037651062,0.013994247652590275,0.007218413986265659,0.011949543841183186,0.004264101851731539,0.004744641482830048,0.015947839245200157,0.006733354181051254,0.01702212356030941,0.01698954403400421,0.00799673330038786,0.020475970581173897,0.0069579919800162315,0.008164825849235058,0.0110621964558959,0.009328067302703857,0.0013257613172754645,0.005205891560763121,0.00436708889901638,0.005060918629169464,0.0029993150383234024,0.004735188093036413,0.0019954906310886145,0.00501642283052206,0.008733760565519333,0.0,0.0048672473058104515,0.001990460092201829,0.05611227825284004,0.004255944397300482,0.0026861221995204687,0.02618778683245182,0.0040423269383609295,0.0,0.0,0.0,0.0027911635115742683,0.003655390115454793,0.004859304521232843,0.0013640490360558033,0.0,0.002596849575638771,0.00738105084747076,0.004998454358428717,0.005519824102520943,0.021914761513471603,0.0029217475093901157,0.007382804062217474,0.003466700902208686,0.00392161775380373,0.003572761081159115,0.004960386082530022,0.007506336085498333,0.0007897502509877086,0.004460781347006559,0.0028657906223088503,0.005734934005886316,0.011159026063978672,0.00639701122418046,0.004140248987823725,0.004374308977276087,0.00030737530323676765,0.013598599471151829,0.004251386970281601,0.007179190870374441,0.006150728557258844,0.010829025879502296,0.0032553616911172867,0.0030764637049287558,0.0019552065059542656,0.004734573420137167,0.013562047854065895,0.01712149754166603,0.0022878521122038364,0.0061505576595664024,0.007023219484835863,0.006427356507629156,0.006273533217608929,0.012598746456205845,0.002692121546715498,0.007814972661435604,0.005042621400207281,0.005675384309142828,0.03630857169628143,0.0028952336870133877,0.010959786362946033,0.007075798697769642,0.006411984097212553,0.0030101200100034475,0.0,0.003660217160359025,0.0029280183371156454,0.0,0.0024092518724501133,0.005834127310663462,0.0,0.0031390341464430094,0.0070285433903336525,0.0,0.018131276592612267,0.006917791441082954,0.0,0.009272623807191849,0.0029323548078536987,0.0,0.004924389999359846,0.0040900870226323605,0.0025880211032927036,0.0034147314727306366,0.012461819685995579,0.005879133008420467,0.0024475017562508583,0.01815694384276867,0.005957604851573706,0.002322528511285782,0.007231665775179863,0.023119255900382996
10,0.05143221095204353,0.009646527469158173,0.02313936874270439,0.036539383232593536,0.005780308041721582,0.006209527608007193,0.012212013825774193,0.0,0.003922796808183193,0.010722479782998562,0.005768296308815479,0.014344886876642704,0.021296238526701927,0.01150317583233118,0.010083524510264397,0.017254723235964775,0.007218422833830118,0.009827928617596626,0.0035116400104016066,0.00650413753464818,0.016642803326249123,0.008714936673641205,0.006171063054352999,0.020027175545692444,0.002945586806163192,0.012992610223591328,0.004543202463537455,0.01604055054485798,0.018390141427516937,0.010372389107942581,0.0024528868962079287,0.0017050023889169097,0.007923644967377186,0.0032615563832223415,0.005042972508817911,0.0045818448998034,8.163237362168729e-05,0.005678004119545221,0.005649853032082319,0.0,0.0060657900758087635,0.004004116635769606,0.036859847605228424,0.0056472280994057655,0.007550855632871389,0.0,0.0086520342156291,0.0,0.0,0.0,0.0032875111792236567,0.004530921578407288,0.007342007476836443,0.0021899198181927204,0.0,0.010823114775121212,0.005036215763539076,0.0011826951522380114,0.007728320546448231,0.019192764535546303,0.007855105213820934,0.006612754426896572,0.004442425444722176,0.005780217237770557,0.0035328504163771868,0.00565869826823473,0.004072935786098242,0.0008928010356612504,0.004309454932808876,0.004841828718781471,0.006925696507096291,0.01039890293031931,0.004741431679576635,0.0040186550468206406,0.004751504398882389,0.0027715377509593964,0.0026332600973546505,0.007178137078881264,0.013315536081790924,0.007459905464202166,0.008014471270143986,0.013919981196522713,0.0035408902913331985,0.0,0.007575512398034334,0.009202011860907078,0.011914829723536968,0.0006883875466883183,0.00737244077026844,0.005464050453156233,0.008020727895200253,0.003482861677184701,0.023960424587130547,0.010358471423387527,0.0038805180229246616,0.0065643866546452045,0.004166726488620043,0.0071366471238434315,0.008871247991919518,0.006731672678142786,0.0036920392885804176,0.014513998292386532,0.004926586057990789,0.0,0.003915044013410807,0.002994727110490203,0.0,0.00126695167273283,0.007029167376458645,0.0,0.0012236052425578237,0.007333576679229736,0.0,0.0317898765206337,0.01178292278200388,0.0,0.009333060123026371,0.004060335922986269,0.0,0.005256059113889933,0.012192657217383385,0.004070668946951628,0.005225571803748608,0.004885158501565456,0.001418356434442103,0.018242690712213516,0.0,0.006483482196927071,0.0105247488245368,0.014549922198057175,0.0
