run,f40_maxidf_jira_all_as_query,f13_ir_log_and_summary_summary_as_query,f1_assignee_is_commiter,f43_maxidf_jira_summary_as_query,f46_maxidf_jira_description_as_query,f24_ir_svn_all_and_summary_svn_all_as_query,f127_maxpmi_jira_all_as_query,f17_ir_log_and_jira_all_jira_all_as_query,f12_ir_log_and_summary_log_as_query,f16_ir_log_and_jira_all_log_as_query,f44_devidf_jira_summary_as_query,f28_ir_svn_all_and_jira_all_svn_all_as_query,f25_ir_svn_all_and_summary_summary_as_query,f15_ir_log_and_description_description_as_query,f29_ir_svn_all_and_jira_all_jira_all_as_query,f18_ir_unitname_and_summary_unitname_as_query,f26_ir_svn_all_and_description_svn_all_as_query,f10_overlap_terms_to_svn,f2_timedif_issuecreation_and_commitcreation,f11_overlap_terms_to_union,f27_ir_svn_all_and_description_description_as_query,f22_ir_unitname_and_jira_all_unitname_as_query,f3_timedif_issueupdated_and_commitcreation,f19_ir_unitname_and_summary_summary_as_query,f9_overlap_terms_compared_to_jira,f23_ir_unitname_and_jira_all_jira_all_as_query,f4_timedif_issueresolved_and_commitcreation,f60_avgictf_jira_summary_as_query,f112_maxscq_jira_all_as_query,f20_ir_unitname_and_description_unitname_as_query,f126_avgpmi_jira_all_as_query,f99_scs_jira_all_as_query,f21_ir_unitname_and_description_description_as_query,f100_scs_jira_summary_as_query,f62_devictf_jira_summary_as_query,f101_scs_jira_description_as_query,f118_maxscq_jira_description_as_query,f128_avgpmi_jira_summary_as_query,f14_ir_log_and_description_log_as_query,f89_deventropy_jira_description_as_query,f94_queryscope_jira_summary_as_query,f88_maxentropy_jira_description_as_query,f93_queryscope_jira_all_as_query,f83_medentropy_jira_summary_as_query,f81_deventropy_jira_all_as_query,f42_avgidf_jira_summary_as_query,f86_avgentropy_jira_description_as_query,f52_maxictf_svn_log_as_query,f78_avgentropy_jira_all_as_query,f41_devidf_jira_all_as_query
1,0.0,0.10001298040151596,0.0627591460943222,0.0,0.0,0.04815707355737686,0.0,0.018363958224654198,0.02226323075592518,0.025887316092848778,0.016855575144290924,0.020587068051099777,0.01843573898077011,0.011450792662799358,0.04353706166148186,0.00790600385516882,0.012830428779125214,0.013304959051311016,0.01666310429573059,0.01876361109316349,0.0059208013117313385,0.010628019459545612,0.029715731739997864,0.06425850838422775,0.010604334995150566,0.013513575308024883,0.0774512067437172,0.027803905308246613,0.016220347955822945,0.011602753773331642,0.009325331076979637,0.011807126924395561,0.00833054818212986,0.015680143609642982,0.008510701358318329,0.042132992297410965,0.009731919504702091,0.020566638559103012,0.009370425716042519,0.036731939762830734,0.004408425185829401,0.0,0.012740408070385456,0.006468664854764938,0.011413528583943844,0.005347356665879488,0.011324471794068813,0.011350581422448158,0.0,0.03926149755716324
2,0.0,0.0984889417886734,0.05545985326170921,0.0,0.0,0.05739462375640869,0.0,0.013288640417158604,0.03346004709601402,0.06368261575698853,0.012251523323357105,0.011327332817018032,0.026094360277056694,0.00840034894645214,0.053773172199726105,0.022736981511116028,0.014811730943620205,0.019866814836859703,0.021049056202173233,0.025545168668031693,0.009839728474617004,0.014378050342202187,0.04048280417919159,0.014290967956185341,0.003806410124525428,0.009365264326334,0.06633791327476501,0.01822594180703163,0.01798565313220024,0.00644505862146616,0.03537425771355629,0.01215397845953703,0.012310155667364597,0.004561545327305794,0.010840456932783127,0.006704866420477629,0.011521132662892342,0.014315878041088581,0.007952914573252201,0.010916768573224545,0.0010730953654274344,0.0,0.03849698230624199,0.006453892216086388,0.005475661717355251,0.04256809875369072,0.006392577197402716,0.007183445617556572,0.0,0.026915287598967552
3,0.0,0.13898314535617828,0.05901743471622467,0.0,0.0,0.04426000267267227,0.0,0.02135288529098034,0.02354726754128933,0.013179865665733814,0.00632822560146451,0.013356336392462254,0.023584969341754913,0.0040816678665578365,0.03388338163495064,0.06482455134391785,0.008921056054532528,0.011183374561369419,0.021671464666724205,0.01866184175014496,0.006299549248069525,0.021635668352246284,0.0314098484814167,0.053805507719516754,0.006977706681936979,0.008072586730122566,0.061562079936265945,0.02647801861166954,0.02323698252439499,0.012730490416288376,0.013876543380320072,0.01037671323865652,0.006393543444573879,0.012686832807958126,0.008826155215501785,0.0041030594147741795,0.013695692643523216,0.010095742531120777,0.00967189110815525,0.01845262013375759,0.012831355445086956,0.0,0.03041709028184414,0.008420797996222973,0.01678898185491562,0.0020230282098054886,0.021629663184285164,0.01120766531676054,0.005584204103797674,0.02387252263724804
4,0.0,0.11504971981048584,0.06085371598601341,0.0,0.0,0.022547103464603424,0.0,0.025676153600215912,0.028652984648942947,0.007528367452323437,0.015318137593567371,0.013142472133040428,0.012734615243971348,0.0025562846567481756,0.03699604049324989,0.04730940982699394,0.0042810142040252686,0.007457336876541376,0.02000601962208748,0.013116247951984406,0.009570172987878323,0.0060083516873419285,0.027758846059441566,0.051436129957437515,0.006889157462865114,0.020024919882416725,0.057442646473646164,0.025035610422492027,0.0188483614474535,0.0029060544911772013,0.025768261402845383,0.022232478484511375,0.01215185783803463,0.007949642837047577,0.018337570130825043,0.021973542869091034,0.006353785749524832,0.00603828439489007,0.0019334362586960196,0.01904972270131111,0.0069078560918569565,0.011055953800678253,0.08511094748973846,0.010667166672647,0.022271892055869102,0.007098246365785599,0.01857028156518936,0.009923581965267658,0.0,0.027459630742669106
5,0.0,0.12562531232833862,0.05721691623330116,0.0,0.0,0.041766148060560226,0.0,0.01152709499001503,0.019840911030769348,0.01823108084499836,0.04430103674530983,0.009440197609364986,0.03120102360844612,0.007064709905534983,0.030839791521430016,0.036033183336257935,0.005985398311167955,0.015194485895335674,0.026906266808509827,0.023845061659812927,0.007522654719650745,0.010154970921576023,0.027459565550088882,0.02190082147717476,0.006559379864484072,0.014896552078425884,0.07573370635509491,0.027992593124508858,0.01790064573287964,0.004532065242528915,0.005162008106708527,0.013246066868305206,0.007952485233545303,0.015676895156502724,0.016311554238200188,0.006747819948941469,0.020789042115211487,0.009609506465494633,0.017507091164588928,0.019981827586889267,0.004977579228579998,0.0,0.07143163681030273,0.01699247397482395,0.010705423541367054,0.002334908116608858,0.0190116073936224,0.006783496588468552,0.0,0.015106982551515102
6,0.0,0.10037897527217865,0.054534655064344406,0.0,0.0,0.05225549265742302,0.0,0.01675213687121868,0.03130260854959488,0.059659454971551895,0.02625061199069023,0.010541596449911594,0.018331604078412056,0.00840391032397747,0.05140116438269615,0.018775248900055885,0.007625632453709841,0.009791634045541286,0.015173288062214851,0.015733448788523674,0.0071781715378165245,0.0184360072016716,0.02506847493350506,0.011823991313576698,0.006987456697970629,0.004924216773360968,0.07154345512390137,0.04323223978281021,0.02375912293791771,0.016506701707839966,0.007469656877219677,0.008211805485188961,0.018720300868153572,0.010313749313354492,0.0038635716773569584,0.010821880772709846,0.024713994935154915,0.014745496213436127,0.010747411288321018,0.03149557113647461,0.03218553960323334,0.0,0.03350627049803734,0.005771819036453962,0.005267750937491655,0.012657945975661278,0.0043370891362428665,0.010936246253550053,0.0,0.02786252088844776
7,0.0,0.13007859885692596,0.05472626909613609,0.0,0.0,0.03319618105888367,0.0,0.016928009688854218,0.024147450923919678,0.015554836951196194,0.01630639284849167,0.009306641295552254,0.017531584948301315,0.0071671102195978165,0.04612944647669792,0.04913318157196045,0.006036785431206226,0.018128810450434685,0.014225336723029613,0.016148002818226814,0.007710753940045834,0.03244466334581375,0.021857207641005516,0.009029093198478222,0.011463874019682407,0.006846225820481777,0.06895261257886887,0.019078746438026428,0.01579943858087063,0.011478465050458908,0.017959143966436386,0.00872731115669012,0.008884585462510586,0.008810085244476795,0.006496408022940159,0.027247825637459755,0.015267491340637207,0.0030543534085154533,0.008456237614154816,0.02035427652299404,0.004492750391364098,0.019145123660564423,0.05856260657310486,0.013566187582910061,0.009232514537870884,0.022505925968289375,0.018410051241517067,0.008297373540699482,0.0,0.041124045848846436
8,0.0,0.11453413218259811,0.060706499963998795,0.0,0.0,0.01834927685558796,0.0,0.008299041539430618,0.0562465637922287,0.01493365503847599,0.012424034997820854,0.016540981829166412,0.02310607023537159,0.0036258187610656023,0.03269941359758377,0.04167189076542854,0.00478368578478694,0.014562629163265228,0.019535690546035767,0.009515265934169292,0.010945307090878487,0.00397549569606781,0.027796030044555664,0.08595815300941467,0.008342219516634941,0.01051451824605465,0.05857062712311745,0.007589139509946108,0.015591533854603767,0.0,0.020103180781006813,0.011629868298768997,0.008868089877068996,0.007967985235154629,0.06467463076114655,0.0016317920526489615,0.011319908313453197,0.012011895887553692,0.015590667724609375,0.022151455283164978,0.01366246398538351,0.006080527789890766,0.03151218220591545,0.012275055050849915,0.005866711959242821,0.010234622284770012,0.02677658200263977,0.007133542560040951,0.0,0.029691217467188835
9,0.0,0.11288139969110489,0.063564233481884,0.0,0.0,0.029671993106603622,0.0,0.021346330642700195,0.015227376483380795,0.05248865857720375,0.020838666707277298,0.013711411505937576,0.01306948997080326,0.010953539982438087,0.02589414268732071,0.08584987372159958,0.007561828941106796,0.012057745829224586,0.014484569430351257,0.014435897581279278,0.010380793362855911,0.007969565689563751,0.034194085747003555,0.05584437772631645,0.008100568316876888,0.004844697192311287,0.056704092770814896,0.03277694433927536,0.007078259252011776,0.015547267161309719,0.017261838540434837,0.01485822070389986,0.013016501441597939,0.009788276627659798,0.004492972977459431,0.002727275248616934,0.018521996214985847,0.0017861485248431563,0.017735831439495087,0.023565661162137985,0.011134177446365356,0.0,0.015751320868730545,0.010050339624285698,0.03281128406524658,0.007835064083337784,0.029199276119470596,0.009115912951529026,0.0,0.012870070524513721
10,0.0,0.11249338835477829,0.0640810877084732,0.0,0.0,0.029293440282344818,0.0,0.007502369116991758,0.027594950050115585,0.0077006337232887745,0.012346048839390278,0.014887910336256027,0.024504899978637695,0.007949364371597767,0.035330768674612045,0.019152851775288582,0.005651203449815512,0.014164099469780922,0.021343614906072617,0.014860004186630249,0.006372008007019758,0.007977115921676159,0.023032642900943756,0.07881491631269455,0.004548456519842148,0.004628915339708328,0.06983111798763275,0.007893775589764118,0.02157578058540821,0.006690479815006256,0.013238647021353245,0.014476137235760689,0.027063313871622086,0.010222266428172588,0.005024740472435951,0.001156390062533319,0.010749985463917255,0.054120972752571106,0.015381831675767899,0.014044038951396942,0.004438850097358227,0.0004185124998912215,0.08053351938724518,0.0025851966347545385,0.017002876847982407,0.011655421927571297,0.019428212195634842,0.007692866493016481,0.0,0.04054439812898636
