run,f40_maxidf_jira_all_as_query,f13_ir_log_and_summary_summary_as_query,f1_assignee_is_commiter,f43_maxidf_jira_summary_as_query,f46_maxidf_jira_description_as_query,f24_ir_svn_all_and_summary_svn_all_as_query,f127_maxpmi_jira_all_as_query,f17_ir_log_and_jira_all_jira_all_as_query,f12_ir_log_and_summary_log_as_query,f16_ir_log_and_jira_all_log_as_query,f44_devidf_jira_summary_as_query,f28_ir_svn_all_and_jira_all_svn_all_as_query,f25_ir_svn_all_and_summary_summary_as_query,f15_ir_log_and_description_description_as_query,f29_ir_svn_all_and_jira_all_jira_all_as_query,f18_ir_unitname_and_summary_unitname_as_query,f26_ir_svn_all_and_description_svn_all_as_query,f10_overlap_terms_to_svn,f2_timedif_issuecreation_and_commitcreation,f11_overlap_terms_to_union,f27_ir_svn_all_and_description_description_as_query,f22_ir_unitname_and_jira_all_unitname_as_query,f3_timedif_issueupdated_and_commitcreation,f19_ir_unitname_and_summary_summary_as_query,f9_overlap_terms_compared_to_jira,f23_ir_unitname_and_jira_all_jira_all_as_query,f4_timedif_issueresolved_and_commitcreation,f60_avgictf_jira_summary_as_query,f112_maxscq_jira_all_as_query,f20_ir_unitname_and_description_unitname_as_query,f126_avgpmi_jira_all_as_query,f99_scs_jira_all_as_query,f21_ir_unitname_and_description_description_as_query,f100_scs_jira_summary_as_query,f62_devictf_jira_summary_as_query,f101_scs_jira_description_as_query,f118_maxscq_jira_description_as_query,f128_avgpmi_jira_summary_as_query,f14_ir_log_and_description_log_as_query,f89_deventropy_jira_description_as_query,f94_queryscope_jira_summary_as_query,f88_maxentropy_jira_description_as_query,f93_queryscope_jira_all_as_query,f83_medentropy_jira_summary_as_query,f81_deventropy_jira_all_as_query,f42_avgidf_jira_summary_as_query,f86_avgentropy_jira_description_as_query,f52_maxictf_svn_log_as_query,f78_avgentropy_jira_all_as_query,f41_devidf_jira_all_as_query,f58_maxictf_jira_all_as_query,f80_maxentropy_jira_all_as_query,f79_medentropy_jira_all_as_query,f47_devidf_jira_description_as_query,f116_sumscq_jira_summary_as_query,f114_avgscq_jira_summary_as_query,f87_medentropy_jira_description_as_query,f103_SvnAsQuery_maxSCQ,f130_avgpmi_jira_description_as_query,f57_avgictf_jira_all_as_query
1,0.0,0.11742298305034637,0.05797671526670456,0.0,0.0,0.03620658069849014,0.0,0.013474924489855766,0.03142259269952774,0.01066387165337801,0.012962068431079388,0.004996932111680508,0.019558114930987358,0.004342672880738974,0.04414369910955429,0.0602986216545105,0.005688352510333061,0.009936237707734108,0.01432545855641365,0.012552826665341854,0.0067170229740440845,0.014376535080373287,0.027622846886515617,0.0066062831319868565,0.011134977452456951,0.014847278594970703,0.060899585485458374,0.013799658045172691,0.011332751251757145,0.003657297696918249,0.014948603697121143,0.02345154993236065,0.0,0.012841729447245598,0.0052098967134952545,0.0032960970420390368,0.004512179177254438,0.005617653951048851,0.014997855760157108,0.0025574287865310907,0.019236326217651367,0.0,0.03393084555864334,0.008137502707540989,0.011624378152191639,0.0067051914520561695,0.008885199204087257,0.00783903244882822,0.0,0.016647547483444214,0.010459816083312035,0.0,0.027443185448646545,0.008987901732325554,0.07088091224431992,0.0,0.0342089906334877,0.007422246038913727,0.005900866352021694,0.007290145382285118
2,0.0,0.11861112713813782,0.043324731290340424,0.0,0.0,0.02906557358801365,0.0,0.02209228277206421,0.019263043999671936,0.01829233206808567,0.009467342868447304,0.006814337335526943,0.008456101641058922,0.007739679422229528,0.027807943522930145,0.07158119231462479,0.003821434685960412,0.011333426460623741,0.009054955095052719,0.01728278398513794,0.004216586705297232,0.01614147424697876,0.029270512983202934,0.009405632503330708,0.006766262464225292,0.009722981601953506,0.07300823926925659,0.022817865014076233,0.008043951354920864,0.012022131122648716,0.004865190479904413,0.002842829329892993,0.010174076072871685,0.006477840710431337,0.0012939251028001308,0.0008386287954635918,0.003179614432156086,0.08978044241666794,0.00545720336958766,0.015420910902321339,0.0,0.0,0.0029944845009595156,0.008935685269534588,0.008503986522555351,0.0024003584403544664,0.027064692229032516,0.0076620373874902725,0.0,0.023028798401355743,0.002104103099554777,0.0016562005039304495,0.024050544947385788,0.006301055662333965,0.059248391538858414,0.0,0.052240293473005295,0.006520475260913372,0.005997899454087019,0.005536366254091263
3,0.0,0.10675399750471115,0.047209352254867554,0.0,0.0,0.03879589959979057,0.0,0.006970521062612534,0.02019772306084633,0.032863836735486984,0.015034370124340057,0.011030740104615688,0.023609520867466927,0.005655970424413681,0.04043281450867653,0.01331907045096159,0.007118458393961191,0.012578027322888374,0.018399642780423164,0.02122035250067711,0.004481700714677572,0.01064168382436037,0.025178011506795883,0.042612865567207336,0.004400691483169794,0.016423190012574196,0.07470885664224625,0.025450509041547775,0.014657664112746716,0.008122101426124573,0.011017176322638988,0.025612255558371544,0.011227792128920555,0.012713420204818249,0.0035377771127969027,0.0028457744047045708,0.008237669244408607,0.014875481836497784,0.010502518154680729,0.02654869295656681,0.003593358676880598,0.021652664989233017,0.004224052652716637,0.004916704725474119,0.010061421431601048,0.002161293290555477,0.010940463282167912,0.006551520898938179,0.0,0.0036805619020015,0.00565331382676959,0.006788455415517092,0.01731795258820057,0.01682393066585064,0.031934309750795364,0.0,0.0592520646750927,0.007470334880053997,0.0007150175515562296,0.011276434175670147
4,0.0,0.10392829775810242,0.045883141458034515,0.0,0.0,0.03539644926786423,0.0,0.009814707562327385,0.021796196699142456,0.023480266332626343,0.010267769917845726,0.02536526694893837,0.017752140760421753,0.007801339495927095,0.02936331182718277,0.11631551384925842,0.012730354443192482,0.005215219222009182,0.012219022959470749,0.02098807506263256,0.009428423829376698,0.022479945793747902,0.03132746368646622,0.0007922347285784781,0.004907294176518917,0.00772755965590477,0.06216971203684807,0.01804252900183201,0.008304635994136333,0.013261820189654827,0.015005718916654587,0.014263794757425785,0.0,0.013665344566106796,0.010940400883555412,0.004912149626761675,0.010385525412857533,0.007780054584145546,0.0035697610583156347,0.006055742036551237,0.01141045056283474,0.0,0.04383762180805206,0.010308483615517616,0.005484511144459248,0.01803944818675518,0.016361573711037636,0.00842225644737482,0.0,0.022658098489046097,0.0,0.002453464549034834,0.004447084851562977,0.005144626833498478,0.03936066851019859,0.0,0.03291822597384453,0.0063574961386621,0.0036963049788028,0.005762445740401745
5,0.0,0.12336215376853943,0.052070971578359604,0.0,0.0,0.04292574152350426,0.0,0.011527865193784237,0.02119186520576477,0.01008185837417841,0.005086014978587627,0.013968806713819504,0.017735827714204788,0.0035599481780081987,0.044886186718940735,0.05029822140932083,0.006663261912763119,0.011249391362071037,0.014285922981798649,0.01527345459908247,0.0071112848818302155,0.009988454170525074,0.028464552015066147,0.025469671934843063,0.0047156596556305885,0.006831607315689325,0.049799658358097076,0.020521093159914017,0.014614560641348362,0.01168085541576147,0.01708819530904293,0.011808830313384533,0.02223842963576317,0.0043302373960614204,0.0071382238529622555,0.0013011627597734332,0.011216878890991211,0.08791118860244751,0.011581679806113243,0.01298907957971096,0.001280409749597311,0.0,0.0242017675191164,0.004563625901937485,0.011245128698647022,0.013550330884754658,0.0026738778688013554,0.00818051490932703,0.0,0.010470368899405003,0.0037908488884568214,0.0,0.022405482828617096,0.0061227683909237385,0.0469767302274704,0.0,0.015481358394026756,0.004826920107007027,0.0018590078689157963,0.011402048170566559
6,0.0,0.13207288086414337,0.047435346990823746,0.0,0.0,0.02047930285334587,0.0,0.010384434834122658,0.023376261815428734,0.020668067038059235,0.009257610887289047,0.009946959093213081,0.01628829538822174,0.009548750706017017,0.033060818910598755,0.021899858489632607,0.0038578154053539038,0.019061239436268806,0.014576916582882404,0.010747707448899746,0.0048384228721261024,0.007004403509199619,0.026740267872810364,0.008694596588611603,0.010700469836592674,0.013482403010129929,0.07078410685062408,0.019884400069713593,0.013708123005926609,0.013468370772898197,0.003613064531236887,0.022805675864219666,0.010577782057225704,0.011236230842769146,0.0020943416748195887,0.0015203205402940512,0.024828579276800156,0.008226431906223297,0.021902434527873993,0.009490539319813251,0.004252981394529343,0.01023874245584011,0.07877492904663086,0.0057927933521568775,0.007451241370290518,0.01310757640749216,0.010189462453126907,0.005669943057000637,0.0,0.05055816471576691,0.00077258818782866,0.0028533521108329296,0.004197252914309502,0.006757837254554033,0.05581331625580788,0.0,0.018984375521540642,0.007698382250964642,0.002651681425049901,0.005972215905785561
7,0.0,0.07884512096643448,0.04108010604977608,0.0,0.0,0.029751773923635483,0.0,0.00343859801068902,0.023815862834453583,0.015429181978106499,0.013413092121481895,0.02006205916404724,0.02783830836415291,0.0035014112945646048,0.041966091841459274,0.02561475895345211,0.003135422710329294,0.008001776412129402,0.015623851679265499,0.009823919273912907,0.006724327336996794,0.015170162543654442,0.024241305887699127,0.07623974233865738,0.005350685678422451,0.013687326572835445,0.05079547315835953,0.03487641364336014,0.009391836822032928,0.024874020367860794,0.004428600426763296,0.021021131426095963,0.005052302498370409,0.006475668400526047,0.015971584245562553,0.002889621304348111,0.006221383344382048,0.05850648880004883,0.006339591927826405,0.020819902420043945,0.014892675913870335,0.0,0.03946647047996521,0.012431981042027473,0.01567092165350914,0.003523394465446472,0.009721470065414906,0.009365586563944817,0.0,0.026370173320174217,0.0004136110073886812,0.0013129503931850195,0.03885819390416145,0.0059224143624305725,0.0235305018723011,0.0,0.010038214735686779,0.0060245804488658905,0.00865726824849844,0.0033806536812335253
8,0.0,0.11109308153390884,0.04256223887205124,0.0,0.0,0.027606632560491562,0.0,0.020084954798221588,0.03660895675420761,0.04531092196702957,0.007061515469104052,0.007944773882627487,0.033571746200323105,0.0050813001580536366,0.026604371145367622,0.0318465381860733,0.002751374850049615,0.011207985691726208,0.015709472820162773,0.012900914996862411,0.007979439571499825,0.011773799546062946,0.031208651140332222,0.006366484798491001,0.002178527181968093,0.00243629259057343,0.07008421421051025,0.024185627698898315,0.010249365121126175,0.009417605586349964,0.019122250378131866,0.008249377831816673,0.0035548426676541567,0.019873492419719696,0.013616432435810566,0.0019735563546419144,0.007340713869780302,0.0018488956848159432,0.005172113422304392,0.01834380254149437,0.025112466886639595,0.0,0.0,0.007094856351613998,0.02447236329317093,0.0,0.009526005946099758,0.010442000813782215,0.0,0.04296187311410904,0.014911769889295101,0.0,0.02003496140241623,0.004904631990939379,0.04135427251458168,0.0,0.05719443038105965,0.006367259193211794,0.0059364186599850655,0.016764363273978233
9,0.0,0.10942035168409348,0.048271458595991135,0.0,0.0,0.027269158512353897,0.0,0.023329799994826317,0.02241920679807663,0.04016851633787155,0.010819830000400543,0.012053619138896465,0.0370216891169548,0.008861470967531204,0.04243486374616623,0.01157483458518982,0.003402166301384568,0.02218640223145485,0.01744360849261284,0.013204490765929222,0.01321755163371563,0.006437026429921389,0.03208337351679802,0.026491394266486168,0.012221090495586395,0.008973249234259129,0.07828480005264282,0.037463583052158356,0.02280448004603386,0.015479537658393383,0.001596527174115181,0.011873249895870686,0.0031545443926006556,0.011131113395094872,0.003420549212023616,0.011001401580870152,0.009174009785056114,0.015474539250135422,0.010105958208441734,0.0278677586466074,0.0008060844847932458,0.0,0.008750544860959053,0.0050749396905303,0.006992621812969446,0.010348630137741566,0.00660413783043623,0.007900700904428959,0.0,0.011952110566198826,0.01091931201517582,0.006278939079493284,0.025101326406002045,0.011364910751581192,0.01989544928073883,0.0,0.044070374220609665,0.0076367296278476715,0.003572711255401373,0.004593124147504568
10,0.0,0.1342145949602127,0.05079368129372597,0.0,0.0,0.03215603530406952,0.0,0.018843460828065872,0.019640270620584488,0.027443284168839455,0.00920252688229084,0.004841735120862722,0.02277790755033493,0.0023127198219299316,0.033751603215932846,0.04965473711490631,0.004034989047795534,0.014084608294069767,0.011163251474499702,0.0135576780885458,0.007704833056777716,0.0037081486079841852,0.029661856591701508,0.02687375433743,0.007828270085155964,0.008401522412896156,0.05921000614762306,0.030558040365576744,0.010690624825656414,0.014041147194802761,0.026125960052013397,0.010602906346321106,0.0052462550811469555,0.013179223984479904,0.007047216407954693,0.03173528611660004,0.003993126563727856,0.012769083492457867,0.004544973839074373,0.009501677937805653,0.006385339889675379,0.0,0.0,0.00808513443917036,0.007482233922928572,0.0027491573709994555,0.004689589608460665,0.0077042290940880775,0.0,0.011901455000042915,0.017757713794708252,0.0,0.02323083207011223,0.00614575482904911,0.057605188339948654,0.0,0.045773234218358994,0.005732039455324411,0.011156311258673668,0.011704773642122746
